[ 2014-10-24T09:58:55+08:00 ] /Admin/Public/login | INFO: Tag[ route_check ] --START--
[ 2014-10-24T09:58:55+08:00 ] /Admin/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.003705s ]
[ 2014-10-24T09:58:55+08:00 ] /Admin/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.003818s ]
[ 2014-10-24T09:58:55+08:00 ] /Admin/Public/login | INFO: Tag[ app_begin ] --START--
[ 2014-10-24T09:58:55+08:00 ] /Admin/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003418s ]
[ 2014-10-24T09:58:55+08:00 ] /Admin/Public/login | INFO: Run CheckLang Behavior [ RunTime:0.004260s ]
[ 2014-10-24T09:58:55+08:00 ] /Admin/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007841s ]
[ 2014-10-24T09:58:55+08:00 ] /Admin/Public/login | INFO: Tag[ view_template ] --START--
[ 2014-10-24T09:58:55+08:00 ] /Admin/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.006416s ]
[ 2014-10-24T09:58:55+08:00 ] /Admin/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.006559s ]
[ 2014-10-24T09:58:55+08:00 ] /Admin/Public/login | INFO: Tag[ view_parse ] --START--
[ 2014-10-24T09:58:55+08:00 ] /Admin/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.090872s ]
[ 2014-10-24T09:58:55+08:00 ] /Admin/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.090980s ]
[ 2014-10-24T09:58:55+08:00 ] /Admin/Public/login | INFO: Tag[ view_filter ] --START--
[ 2014-10-24T09:58:55+08:00 ] /Admin/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.005098s ]
[ 2014-10-24T09:58:55+08:00 ] /Admin/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.003400s ]
[ 2014-10-24T09:58:55+08:00 ] /Admin/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002992s ]
[ 2014-10-24T09:58:55+08:00 ] /Admin/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.003879s ]
[ 2014-10-24T09:58:55+08:00 ] /Admin/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015622s ]
[ 2014-10-24T09:58:55+08:00 ] /Admin/Public/login | INFO: Tag[ view_end ] --START--
[ 2014-10-24T09:58:55+08:00 ] /Admin/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.004173s ]
[ 2014-10-24T09:58:55+08:00 ] /Admin/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.004263s ]
[ 2014-10-24T09:58:55+08:00 ] /Public/verify | INFO: Tag[ route_check ] --START--
[ 2014-10-24T09:58:55+08:00 ] /Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.003696s ]
[ 2014-10-24T09:58:55+08:00 ] /Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.004000s ]
[ 2014-10-24T09:58:55+08:00 ] /Public/verify | INFO: Tag[ app_begin ] --START--
[ 2014-10-24T09:58:55+08:00 ] /Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005415s ]
