[ 2014-11-04T09:41:24+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2014-11-04T09:41:24+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.032939s ]
[ 2014-11-04T09:41:24+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.039821s ]
[ 2014-11-04T09:41:24+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.080121s ]
[ 2014-11-04T09:41:24+08:00 ] / | SQL: SHOW COLUMNS FROM `lj_menu` [ RunTime:0.010700s ]
[ 2014-11-04T09:41:24+08:00 ] / | SQL: SELECT `id`,`name`,`url`,`child` FROM `lj_menu` WHERE status=1 ORDER BY sort asc  [ RunTime:0.010178s ]
[ 2014-11-04T09:41:24+08:00 ] / | SQL: SHOW COLUMNS FROM `lj_rbac_node` [ RunTime:0.011762s ]
[ 2014-11-04T09:41:24+08:00 ] / | SQL: SELECT `id`,`name`,`title`,`pid` FROM `lj_rbac_node` WHERE pid=1 ORDER BY sort desc  [ RunTime:0.009983s ]
[ 2014-11-04T09:41:24+08:00 ] / | NOTIC: [2] Invalid argument supplied for foreach() IndexAction.class.php 第 20 行.
[ 2014-11-04T09:41:24+08:00 ] / | NOTIC: [2] unlink(./Runtime/Temp/~@4f5c6f858bd9d3d2f98c57840bf2150a.php) [<a href='function.unlink'>function.unlink</a>]: No such file or directory CacheFile.class.php 第 220 行.
[ 2014-11-04T09:41:24+08:00 ] / | SQL: SHOW COLUMNS FROM `lj_quick` [ RunTime:0.015345s ]
[ 2014-11-04T09:41:24+08:00 ] / | SQL: SELECT * FROM `lj_quick` WHERE uid=1  [ RunTime:0.008101s ]
[ 2014-11-04T09:41:24+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2014-11-04T09:41:24+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.027538s ]
[ 2014-11-04T09:41:24+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.029033s ]
[ 2014-11-04T09:41:24+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2014-11-04T09:41:24+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.243597s ]
[ 2014-11-04T09:41:24+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.245420s ]
[ 2014-11-04T09:41:24+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2014-11-04T09:41:24+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.017318s ]
[ 2014-11-04T09:41:24+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.019470s ]
[ 2014-11-04T09:41:24+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.029342s ]
[ 2014-11-04T09:41:24+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.025033s ]
[ 2014-11-04T09:41:24+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.094320s ]
[ 2014-11-04T09:41:24+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2014-11-04T09:41:25+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.029740s ]
[ 2014-11-04T09:41:25+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.030971s ]
[ 2014-11-04T09:41:25+08:00 ] /Index/main | INFO: Tag[ route_check ] --START--
[ 2014-11-04T09:41:25+08:00 ] /Index/main | INFO: Run CheckRoute Behavior [ RunTime:0.031400s ]
[ 2014-11-04T09:41:25+08:00 ] /Index/main | INFO: Tag[ route_check ] --END-- [ RunTime:0.032578s ]
[ 2014-11-04T09:41:25+08:00 ] /Index/main | INFO: Tag[ app_begin ] --START--
[ 2014-11-04T09:41:25+08:00 ] /Index/main | INFO: Run ReadHtmlCache Behavior [ RunTime:0.014872s ]
[ 2014-11-04T09:41:25+08:00 ] /Index/main | INFO: Run CheckLang Behavior [ RunTime:0.028165s ]
[ 2014-11-04T09:41:25+08:00 ] /Index/main | INFO: Tag[ app_begin ] --END-- [ RunTime:0.054263s ]
[ 2014-11-04T09:41:25+08:00 ] /Index/main | INFO: Tag[ view_template ] --START--
[ 2014-11-04T09:41:25+08:00 ] /Index/main | INFO: Run LocationTemplate Behavior [ RunTime:0.006623s ]
[ 2014-11-04T09:41:25+08:00 ] /Index/main | INFO: Tag[ view_template ] --END-- [ RunTime:0.010314s ]
[ 2014-11-04T09:41:25+08:00 ] /Index/main | INFO: Tag[ view_parse ] --START--
[ 2014-11-04T09:41:25+08:00 ] /Index/main | INFO: Run ParseTemplate Behavior [ RunTime:0.144540s ]
[ 2014-11-04T09:41:25+08:00 ] /Index/main | INFO: Tag[ view_parse ] --END-- [ RunTime:0.147212s ]
[ 2014-11-04T09:41:25+08:00 ] /Index/main | INFO: Tag[ view_filter ] --START--
[ 2014-11-04T09:41:25+08:00 ] /Index/main | INFO: Run ContentReplace Behavior [ RunTime:0.002804s ]
[ 2014-11-04T09:41:25+08:00 ] /Index/main | INFO: Run TokenBuild Behavior [ RunTime:0.004478s ]
[ 2014-11-04T09:41:25+08:00 ] /Index/main | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002534s ]
[ 2014-11-04T09:41:25+08:00 ] /Index/main | INFO: Run ShowRuntime Behavior [ RunTime:0.005245s ]
[ 2014-11-04T09:41:25+08:00 ] /Index/main | INFO: Tag[ view_filter ] --END-- [ RunTime:0.018475s ]
[ 2014-11-04T09:41:25+08:00 ] /Index/main | INFO: Tag[ view_end ] --START--
[ 2014-11-04T09:41:25+08:00 ] /Index/main | INFO: Run ShowPageTrace Behavior [ RunTime:0.002728s ]
[ 2014-11-04T09:41:25+08:00 ] /Index/main | INFO: Tag[ view_end ] --END-- [ RunTime:0.003916s ]
[ 2014-11-04T09:41:25+08:00 ] /Public/Images/panel_nav_bg.png | ERR: (ThinkException) 非法操作Images
[ 2014-11-04T09:41:25+08:00 ] /Public/Images/bar_close.png | ERR: (ThinkException) 非法操作Images
[ 2014-11-04T09:41:25+08:00 ] /Public/Images/left_bg.png | ERR: (ThinkException) 非法操作Images
[ 2014-11-04T09:41:25+08:00 ] /Public/Images/scroll_bg.png | ERR: (ThinkException) 非法操作Images
[ 2014-11-04T09:41:25+08:00 ] /Public/Images/header_bg.gif | ERR: (ThinkException) 非法操作Images
[ 2014-11-04T09:41:25+08:00 ] /Public/Images/loading2.gif | ERR: (ThinkException) 非法操作Images
[ 2014-11-04T09:41:26+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2014-11-04T09:41:26+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2014-11-04T09:41:26+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2014-11-04T09:57:12+08:00 ] /api | INFO: Tag[ route_check ] --START--
[ 2014-11-04T09:57:12+08:00 ] /api | INFO: Run CheckRoute Behavior [ RunTime:0.003319s ]
[ 2014-11-04T09:57:12+08:00 ] /api | INFO: Tag[ route_check ] --END-- [ RunTime:0.004566s ]
[ 2014-11-04T09:57:12+08:00 ] /api | INFO: Tag[ app_begin ] --START--
[ 2014-11-04T09:57:12+08:00 ] /api | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003538s ]
[ 2014-11-04T09:57:12+08:00 ] /api | INFO: Run CheckLang Behavior [ RunTime:0.006723s ]
[ 2014-11-04T09:57:12+08:00 ] /api | INFO: Tag[ app_begin ] --END-- [ RunTime:0.012286s ]
[ 2014-11-04T09:57:12+08:00 ] /api | NOTIC: [8] A session had already been started - ignoring session_start() CommonAction.class.php 第 9 行.
[ 2014-11-04T09:57:12+08:00 ] /api | INFO: Tag[ view_template ] --START--
[ 2014-11-04T09:57:12+08:00 ] /api | INFO: Run LocationTemplate Behavior [ RunTime:0.003094s ]
[ 2014-11-04T09:57:12+08:00 ] /api | INFO: Tag[ view_template ] --END-- [ RunTime:0.004448s ]
[ 2014-11-04T09:57:12+08:00 ] /api | INFO: Tag[ view_parse ] --START--
[ 2014-11-04T09:57:12+08:00 ] /api | NOTIC: [8] Undefined index: user c672f1100a526cc6ab8e16596cbd0ab0.php 第 11 行.
[ 2014-11-04T09:57:12+08:00 ] /api | INFO: Run ParseTemplate Behavior [ RunTime:0.113089s ]
[ 2014-11-04T09:57:12+08:00 ] /api | INFO: Tag[ view_parse ] --END-- [ RunTime:0.114229s ]
[ 2014-11-04T09:57:12+08:00 ] /api | INFO: Tag[ view_filter ] --START--
[ 2014-11-04T09:57:12+08:00 ] /api | INFO: Run ContentReplace Behavior [ RunTime:0.003514s ]
[ 2014-11-04T09:57:12+08:00 ] /api | INFO: Run TokenBuild Behavior [ RunTime:0.005719s ]
[ 2014-11-04T09:57:12+08:00 ] /api | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001651s ]
[ 2014-11-04T09:57:12+08:00 ] /api | INFO: Run ShowRuntime Behavior [ RunTime:0.004793s ]
[ 2014-11-04T09:57:12+08:00 ] /api | INFO: Tag[ view_filter ] --END-- [ RunTime:0.018956s ]
[ 2014-11-04T09:57:12+08:00 ] /api | INFO: Tag[ view_end ] --START--
[ 2014-11-04T09:57:12+08:00 ] /api | INFO: Run ShowPageTrace Behavior [ RunTime:0.002271s ]
[ 2014-11-04T09:57:12+08:00 ] /api | INFO: Tag[ view_end ] --END-- [ RunTime:0.003480s ]
[ 2014-11-04T09:57:27+08:00 ] /api/Index/doc | INFO: Tag[ route_check ] --START--
[ 2014-11-04T09:57:27+08:00 ] /api/Index/doc | INFO: Run CheckRoute Behavior [ RunTime:0.002885s ]
